,time,temp,dwpt,rhum,prcp,wdir,wspd,pres,HOUR,COST,USAGE,feel
0,2022-10-22 00:00:00,21.4,5.8,36.0,0.0,190.0,14.8,1007.0,2022-10-22 00:00:00,0.03,0.24,21.4
1,2022-10-22 01:00:00,19.6,6.1,41.0,0.0,180.0,16.6,1007.0,2022-10-22 01:00:00,0.03,0.29000000000000004,19.6
2,2022-10-22 02:00:00,17.5,5.5,45.0,0.0,180.0,9.4,1008.0,2022-10-22 02:00:00,0.02,0.2,17.5
3,2022-10-22 03:00:00,14.0,5.2,55.0,0.0,160.0,11.2,1008.0,2022-10-22 03:00:00,0.02,0.09,14.0
4,2022-10-22 04:00:00,14.2,5.4,55.0,0.0,170.0,11.2,1009.0,2022-10-22 04:00:00,0.02,0.09,14.2
5,2022-10-22 05:00:00,13.7,5.9,59.0,0.0,170.0,9.4,1008.0,2022-10-22 05:00:00,0.02,0.09,13.7
6,2022-10-22 06:00:00,12.7,6.1,64.0,0.0,170.0,9.4,1008.0,2022-10-22 06:00:00,0.02,0.09,12.7
7,2022-10-22 07:00:00,12.6,6.5,66.0,0.0,170.0,9.4,1008.0,2022-10-22 07:00:00,0.02,0.1,12.6
8,2022-10-22 08:00:00,11.9,6.6,70.0,0.0,170.0,13.0,1008.0,2022-10-22 08:00:00,0.01,0.1,11.9
9,2022-10-22 09:00:00,11.5,7.3,75.0,0.0,170.0,11.2,1008.0,2022-10-22 09:00:00,0.02,0.09,11.5
10,2022-10-22 10:00:00,11.2,8.1,81.0,0.0,160.0,13.0,1008.0,2022-10-22 10:00:00,0.02,0.1,11.2
11,2022-10-22 11:00:00,11.0,8.6,85.0,0.0,170.0,11.2,1009.0,2022-10-22 11:00:00,0.02,0.13,11.0
12,2022-10-22 12:00:00,11.0,8.6,85.0,0.0,170.0,11.2,1009.0,2022-10-22 12:00:00,0.04,0.24,11.0
13,2022-10-22 13:00:00,12.6,9.4,81.0,0.0,170.0,11.2,1010.0,2022-10-22 13:00:00,0.02,0.19,12.6
14,2022-10-22 14:00:00,14.3,9.8,74.0,0.0,170.0,13.0,1010.0,2022-10-22 14:00:00,0.04,0.24,14.3
15,2022-10-22 15:00:00,18.4,11.0,62.0,0.0,190.0,16.6,1010.0,2022-10-22 15:00:00,0.04,0.28,18.4
16,2022-10-22 16:00:00,24.2,11.6,45.0,0.0,170.0,20.5,1010.0,2022-10-22 16:00:00,0.04,0.3,24.2
17,2022-10-22 17:00:00,24.2,11.6,45.0,0.0,170.0,20.5,1010.0,2022-10-22 17:00:00,0.03,0.26,24.2
18,2022-10-22 18:00:00,25.8,12.0,42.0,0.0,180.0,18.4,1009.0,2022-10-22 18:00:00,0.03,0.25,25.8
19,2022-10-22 19:00:00,27.3,12.6,40.0,0.0,180.0,18.4,1009.0,2022-10-22 19:00:00,0.03,0.26,27.3
20,2022-10-22 20:00:00,27.9,12.8,39.0,0.0,200.0,20.5,1008.0,2022-10-22 20:00:00,0.05,0.4,27.9
21,2022-10-22 21:00:00,26.9,13.4,43.0,0.0,170.0,25.9,1008.0,2022-10-22 21:00:00,0.04,0.35,26.9
22,2022-10-22 22:00:00,26.9,13.4,43.0,0.0,170.0,25.9,1009.0,2022-10-22 22:00:00,0.05,0.41000000000000003,26.9
23,2022-10-22 23:00:00,24.3,12.4,47.0,0.0,170.0,18.4,1010.0,2022-10-22 23:00:00,0.05,0.41000000000000003,24.3
24,2022-10-23 00:00:00,21.8,13.2,58.0,0.0,150.0,14.8,1010.0,2022-10-23 00:00:00,0.04,0.25,21.8
25,2022-10-23 01:00:00,20.4,13.2,63.0,0.0,160.0,14.8,1011.0,2022-10-23 01:00:00,0.03,0.22999999999999998,20.4
26,2022-10-23 02:00:00,20.0,12.6,62.0,0.0,170.0,16.6,1012.0,2022-10-23 02:00:00,0.03,0.25,20.0
27,2022-10-23 03:00:00,18.4,12.2,67.0,0.0,170.0,13.0,1013.0,2022-10-23 03:00:00,0.04,0.26,18.4
28,2022-10-23 04:00:00,17.7,13.0,74.0,0.0,180.0,13.0,1013.0,2022-10-23 04:00:00,0.02,0.21000000000000002,17.7
29,2022-10-23 05:00:00,17.1,13.1,77.0,0.0,160.0,13.0,1013.0,2022-10-23 05:00:00,0.02,0.11,17.1
30,2022-10-23 06:00:00,16.4,13.0,80.0,0.0,180.0,18.4,1013.0,2022-10-23 06:00:00,0.02,0.1,16.4
31,2022-10-23 07:00:00,16.4,13.0,80.0,0.0,180.0,18.4,1012.0,2022-10-23 07:00:00,0.02,0.1,16.4
32,2022-10-23 08:00:00,16.5,12.5,77.0,0.0,170.0,16.6,1012.0,2022-10-23 08:00:00,0.02,0.11,16.5
33,2022-10-23 09:00:00,17.0,12.2,73.0,0.0,170.0,14.8,1012.0,2022-10-23 09:00:00,0.02,0.11,17.0
34,2022-10-23 10:00:00,17.0,12.4,74.0,0.0,170.0,22.3,1013.0,2022-10-23 10:00:00,0.02,0.1,17.0
35,2022-10-23 11:00:00,17.1,12.5,74.0,0.0,170.0,18.4,1013.0,2022-10-23 11:00:00,0.03,0.18000000000000002,17.1
36,2022-10-23 12:00:00,17.1,12.5,74.0,0.0,170.0,18.4,1013.0,2022-10-23 12:00:00,0.04,0.33999999999999997,17.1
37,2022-10-23 13:00:00,17.7,12.6,72.0,0.0,170.0,16.6,1013.0,2022-10-23 13:00:00,0.04,0.33,17.7
38,2022-10-23 14:00:00,18.9,12.9,68.0,0.0,170.0,20.5,1013.0,2022-10-23 14:00:00,0.04,0.30000000000000004,18.9
39,2022-10-23 15:00:00,22.6,14.0,58.0,0.0,170.0,27.7,1013.0,2022-10-23 15:00:00,0.03,0.25,22.6
40,2022-10-23 16:00:00,24.5,14.7,54.0,0.0,170.0,27.7,1012.0,2022-10-23 16:00:00,0.03,0.27,24.5
41,2022-10-23 17:00:00,24.5,14.7,54.0,0.0,170.0,27.7,1011.0,2022-10-23 17:00:00,0.05,0.39,24.5
42,2022-10-23 18:00:00,26.4,15.2,50.0,0.0,170.0,35.3,1011.0,2022-10-23 18:00:00,0.06,0.41000000000000003,26.4
43,2022-10-23 19:00:00,26.8,15.3,49.0,0.0,170.0,37.1,1010.0,2022-10-23 19:00:00,0.04,0.29000000000000004,26.8
44,2022-10-23 20:00:00,26.7,15.5,50.0,0.0,180.0,37.1,1010.0,2022-10-23 20:00:00,0.04,0.27,26.7
45,2022-10-23 21:00:00,26.7,15.5,50.0,0.0,180.0,40.7,1010.0,2022-10-23 21:00:00,0.04,0.28,26.7
46,2022-10-23 22:00:00,24.8,15.2,55.0,0.0,170.0,27.7,1010.0,2022-10-23 22:00:00,0.04,0.29000000000000004,24.8
47,2022-10-23 23:00:00,24.1,14.3,54.0,0.0,160.0,27.7,1011.0,2022-10-23 23:00:00,0.04,0.35,24.1
48,2022-10-24 00:00:00,23.5,13.4,53.0,0.0,170.0,25.9,1011.0,2022-10-24 00:00:00,0.04,0.33999999999999997,23.5
49,2022-10-24 01:00:00,22.9,12.6,52.0,0.0,160.0,25.9,1012.0,2022-10-24 01:00:00,0.05,0.35,22.9
50,2022-10-24 02:00:00,22.1,12.1,53.0,0.0,160.0,22.3,1011.0,2022-10-24 02:00:00,0.05,0.36,22.1
51,2022-10-24 03:00:00,21.7,11.5,52.0,0.0,170.0,18.4,1012.0,2022-10-24 03:00:00,0.02,0.22999999999999998,21.7
52,2022-10-24 04:00:00,21.3,11.1,52.0,0.0,160.0,16.6,1013.0,2022-10-24 04:00:00,0.03,0.31,21.3
53,2022-10-24 05:00:00,20.4,10.9,54.0,0.0,190.0,9.4,1013.0,2022-10-24 05:00:00,0.04,0.25,20.4
54,2022-10-24 06:00:00,18.4,11.5,64.0,0.1,160.0,11.2,1013.0,2022-10-24 06:00:00,0.02,0.2,18.4
55,2022-10-24 07:00:00,18.4,11.5,64.0,0.0,160.0,11.2,1013.0,2022-10-24 07:00:00,0.02,0.16,18.4
56,2022-10-24 08:00:00,16.6,13.4,81.0,1.5,140.0,13.0,1013.0,2022-10-24 08:00:00,0.02,0.16999999999999998,16.6
57,2022-10-24 09:00:00,17.1,12.7,75.0,0.0,140.0,14.8,1013.0,2022-10-24 09:00:00,0.02,0.16999999999999998,17.1
58,2022-10-24 10:00:00,18.0,11.8,67.0,0.0,150.0,20.5,1013.0,2022-10-24 10:00:00,0.02,0.16999999999999998,18.0
59,2022-10-24 11:00:00,18.1,11.5,65.0,0.0,160.0,18.4,1013.0,2022-10-24 11:00:00,0.02,0.17,18.1
60,2022-10-24 12:00:00,17.7,11.1,65.0,0.0,160.0,20.5,1013.0,2022-10-24 12:00:00,0.03,0.21,17.7
61,2022-10-24 13:00:00,17.4,10.6,64.0,0.0,170.0,20.5,1013.0,2022-10-24 13:00:00,0.02,0.18,17.4
62,2022-10-24 14:00:00,19.0,11.6,62.0,0.0,190.0,18.4,1013.0,2022-10-24 14:00:00,0.02,0.16999999999999998,19.0
63,2022-10-24 15:00:00,21.0,12.5,58.0,0.0,190.0,16.6,1013.0,2022-10-24 15:00:00,0.04,0.38,21.0
64,2022-10-24 16:00:00,23.5,14.0,55.0,0.0,180.0,22.3,1012.0,2022-10-24 16:00:00,0.06,0.41000000000000003,23.5
65,2022-10-24 17:00:00,23.5,14.0,55.0,0.0,180.0,22.3,1011.0,2022-10-24 17:00:00,0.05,0.4,23.5
66,2022-10-24 18:00:00,24.4,14.3,53.0,0.0,180.0,27.7,1010.0,2022-10-24 18:00:00,0.05,0.43000000000000005,24.4
67,2022-10-24 19:00:00,24.9,15.0,54.0,0.0,180.0,25.9,1010.0,2022-10-24 19:00:00,0.05,0.39,24.9
68,2022-10-24 20:00:00,25.2,15.0,53.0,0.0,170.0,24.1,1009.0,2022-10-24 20:00:00,0.06,0.48,25.2
69,2022-10-24 21:00:00,25.2,15.0,53.0,0.0,170.0,24.1,1009.0,2022-10-24 21:00:00,0.05,0.42000000000000004,25.2
70,2022-10-24 22:00:00,24.8,14.9,54.0,0.0,170.0,27.7,1008.0,2022-10-24 22:00:00,0.05,0.38,24.8
71,2022-10-24 23:00:00,24.1,14.8,56.0,0.0,160.0,24.1,1008.0,2022-10-24 23:00:00,0.05,0.4,24.1
72,2022-10-25 00:00:00,23.0,14.1,57.0,0.0,170.0,27.7,1008.0,2022-10-25 00:00:00,0.06,0.46,23.0
73,2022-10-25 01:00:00,22.7,13.0,54.0,0.0,170.0,25.9,1008.0,2022-10-25 01:00:00,0.06,0.49,22.7
74,2022-10-25 02:00:00,22.0,12.6,55.0,0.0,160.0,22.3,1009.0,2022-10-25 02:00:00,0.04,0.29000000000000004,22.0
75,2022-10-25 03:00:00,21.1,12.0,56.0,0.0,180.0,24.1,1009.0,2022-10-25 03:00:00,0.02,0.21,21.1
76,2022-10-25 04:00:00,20.5,11.2,55.0,0.0,170.0,24.1,1008.0,2022-10-25 04:00:00,0.02,0.19,20.5
77,2022-10-25 05:00:00,19.4,11.5,60.0,0.0,190.0,18.4,1008.0,2022-10-25 05:00:00,0.02,0.18,19.4
78,2022-10-25 06:00:00,16.9,13.1,78.0,0.8,230.0,20.5,1008.0,2022-10-25 06:00:00,0.02,0.18,16.9
79,2022-10-25 07:00:00,17.6,13.2,75.0,0.0,220.0,27.7,1008.0,2022-10-25 07:00:00,0.02,0.18,17.6
80,2022-10-25 08:00:00,15.5,15.2,98.0,0.5,170.0,9.4,1007.0,2022-10-25 08:00:00,0.03,0.23,15.5
81,2022-10-25 09:00:00,15.5,15.0,97.0,0.0,210.0,14.8,1006.0,2022-10-25 09:00:00,0.04,0.29000000000000004,15.5
